push-up_rep,push-up_score,sit-up_rep,sit-up_score,run_time,run_score
46,20.0,45,20.0,10:51,60.0
45,19.9,44,19.7,11:22,59.5
44,19.8,43,19.4,11:38,59.0
43,19.6,42,19.0,11:56,58.5
42,19.4,41,18.8,12:14,58.0
41,19.2,40,18.0,12:33,57.5
40,19.0,39,17.6,12:53,57.0
39,18.8,38,17.0,13:14,56.5
38,18.7,37,16.6,13:36,56.0
37,18.6,36,16.4,14:00,55.5
36,18.4,35,16.0,14:25,55.0
35,18.3,34,15.6,14:52,54.5
34,18.2,33,15.0,15:20,54.0
33,18.0,32,14.0,15:50,52.5
32,17.9,31,13.6,16:22,51.0
31,17.8,30,13.0,16:57,49.5
30,17.6,29,12.0,17:34,47.0
29,17.4,28,9.0,18:14,44.5
28,17.3,27,6.0,18:56,42.0
27,17.2,26,3.0,19:43,38.5
26,17.0,inf,0.0,20:33,35.0
25,16.6,,,59:59,0.0
24,16.4,,,,
23,16.0,,,,
22,15.8,,,,
21,15.6,,,,
20,15.2,,,,
19,15.0,,,,
18,14.0,,,,
17,13.6,,,,
16,13.0,,,,
15,12.0,,,,
14,10.0,,,,
13,7.0,,,,
12,4.0,,,,
11,1.0,,,,
inf,0.0,,,,
