push-up_rep,push-up_score,sit-up_rep,sit-up_score,run_time,run_score
57,20.0,54,20.0,9:34,60.0
56,19.8,53,19.7,9:58,59.5
55,19.6,52,19.4,10:10,59.0
54,19.4,51,19.0,10:23,58.5
53,19.2,50,18.8,10:37,58.0
52,19.0,49,18.4,10:51,57.5
51,18.8,48,18.0,11:06,57.0
50,18.6,47,17.6,11:22,56.5
49,18.5,46,17.4,11:38,56.0
48,18.4,45,17.0,11:56,55.5
47,18.2,44,16.6,12:14,55.0
46,18.0,43,16.0,12:33,54.5
45,17.8,42,15.0,12:53,54.0
44,17.6,41,14.0,13:14,53.5
43,17.4,40,13.0,13:36,52.0
42,17.2,39,12.0,14:00,50.5
41,17.0,38,9.0,14:25,49.0
40,16.6,37,6.0,14:52,46.0
39,16.0,36,3.0,15:20,43.0
38,15.6,inf,0.0,15:50,40.5
37,15.4,,,16:22,38.0
36,15.0,,,16:57,35.0
35,14.6,,,59:59,0.0
34,14.0,,,,
33,13.6,,,,
32,13.4,,,,
31,13.0,,,,
30,12.0,,,,
29,11.0,,,,
28,10.6,,,,
27,10.0,,,,
26,7.0,,,,
25,4.0,,,,
24,1.0,,,,
inf,0.0,,,,
