"push-up_rep" ,"push-up_score" ,"sit-up_rep"    ,"sit-up_score"    ,"run_time"    ,"run_score"
"47"          ,"20.0"          ,"50"            ,"20.0"            ,"10:37"       ,"60.0"
"46"          ,"19.8"          ,"49"            ,"19.5"            ,"11:06"       ,"59.5"
"45"          ,"19.6"          ,"48"            ,"19.0"            ,"11:22"       ,"59.0"
"44"          ,"19.4"          ,"47"            ,"18.8"            ,"11:38"       ,"58.5"
"43"          ,"19.2"          ,"46"            ,"18.0"            ,"11:56"       ,"58.0"
"42"          ,"19.0"          ,"45"            ,"17.8"            ,"12:14"       ,"57.5"
"41"          ,"18.8"          ,"44"            ,"17.2"            ,"12:33"       ,"57.0"
"40"          ,"18.6"          ,"43"            ,"17.0"            ,"12:53"       ,"56.5"
"39"          ,"18.4"          ,"42"            ,"16.0"            ,"13:14"       ,"56.0"
"38"          ,"18.2"          ,"41"            ,"15.6"            ,"13:36"       ,"55.5"
"37"          ,"18.0"          ,"40"            ,"15.0"            ,"14:00"       ,"55.0"
"36"          ,"17.8"          ,"39"            ,"14.6"            ,"14:25"       ,"54.5"
"35"          ,"17.6"          ,"38"            ,"14.0"            ,"14:52"       ,"54.0"
"34"          ,"17.2"          ,"37"            ,"13.6"            ,"15:20"       ,"53.5"
"33"          ,"17.0"          ,"36"            ,"13.0"            ,"15:50"       ,"52.0"
"32"          ,"16.8"          ,"35"            ,"12.6"            ,"16:22"       ,"50.5"
"31"          ,"16.6"          ,"34"            ,"12.0"            ,"16:57"       ,"49.0"
"30"          ,"16.4"          ,"33"            ,"9.0"             ,"17:34"       ,"45.5"
"29"          ,"16.2"          ,"32"            ,"6.0"             ,"18:14"       ,"42.0"
"28"          ,"16.0"          ,"31"            ,"3.0"             ,"18:56"       ,"38.5"
"27"          ,"15.0"          ,"inf"           ,"0.0"             ,"19:43"       ,"35.0"
"26"          ,"14.6"          ,"             " ,"               " ,"inf"         ,"0.0"
"25"          ,"14.4"          ,"             " ,"               " ,"           " ,"   "
"24"          ,"14.0"          ,"             " ,"              "  ,"           " ,"   "
"23"          ,"13.0"          ,"             " ,"               " ,"           " ,"   "
"22"          ,"12.6"          ,"             " ,"               " ,"           " ,"   "
"21"          ,"12.0"          ,"             " ,"               " ,"           " ,"   "
"20"          ,"11.6"          ,"             " ,"               " ,"           " ,"   "
"19"          ,"11.0"          ,"             " ,"               " ,"           " ,"   "
"18"          ,"10.6"          ,"             " ,"               " ,"           " ,"   "
"17"          ,"10.0"          ,"             " ,"               " ,"           " ,"   "
"16"          ,"7.0"           ,"             " ,"               " ,"           " ,"   "
"15"          ,"4.0"           ,"             " ,"               " ,"           " ,"   "
"14"          ,"1.0"           ,"             " ,"               " ,"           " ,"   "
"inf"         ,"0.0"           ,"             " ,"               " ,"           " ,"   "
