"push-up_rep" ,"push-up_score" ,"sit-up_rep"    ,"sit-up_score"    ,"run_time"    ,"run_score"
"67"          ,"20.0"          ,"58"            ,"20.0"            ,"9:12 "       ,"60.0"
"66"          ,"19.8"          ,"57"            ,"19.7"            ,"9:34 "       ,"59.5"
"65"          ,"19.6"          ,"56"            ,"19.4"            ,"9:45"        ,"59.0"
"64"          ,"19.4"          ,"55"            ,"19.0"            ,"9:58"        ,"58.5"
"63"          ,"19.2"          ,"54"            ,"18.8"            ,"10:10"       ,"58.0"
"62"          ,"19.0"          ,"53"            ,"18.4"            ,"10:23"       ,"57.5"
"61"          ,"18.8"          ,"52"            ,"18.0"            ,"10:37"       ,"57.0"
"60"          ,"18.6"          ,"51"            ,"17.6"            ,"10:51"       ,"56.5"
"59"          ,"18.4"          ,"50"            ,"17.4"            ,"11:06"       ,"56.0"
"58"          ,"18.2"          ,"49"            ,"17.0"            ,"11:22"       ,"55.5"
"57"          ,"18.0"          ,"48"            ,"16.6"            ,"11:38"       ,"55.0"
"56"          ,"17.8"          ,"47"            ,"16.0"            ,"11:56"       ,"54.5"
"55"          ,"17.7"          ,"46"            ,"15.0"            ,"12:14"       ,"54.0"
"54"          ,"17.6"          ,"45"            ,"14.0"            ,"12:33"       ,"53.5"
"53"          ,"17.4"          ,"44"            ,"13.0"            ,"12:53"       ,"52.0"
"52"          ,"17.2"          ,"43"            ,"12.6"            ,"13:14"       ,"50.5"
"51"          ,"17.0"          ,"42"            ,"12.0"            ,"13:36"       ,"49.0"
"50"          ,"16.8"          ,"41"            ,"9.0"             ,"14:00"       ,"46.5"
"49"          ,"16.6"          ,"40"            ,"6.0"             ,"14:25"       ,"44.0"
"48"          ,"16.2"          ,"39"            ,"3.0"             ,"14:52"       ,"41.0"
"47"          ,"16.0"          ,"inf"           ,"0.0"             ,"15:20"       ,"38.0"
"46"          ,"15.6"          ,"             " ,"               " ,"15:50"       ,"35.0"
"45"          ,"15.4"          ,"             " ,"               " ,"inf"         ,"0.0"
"44"          ,"15.0"          ,"             " ,"               " ,"           " ,"   "
"43"          ,"14.6"          ,"             " ,"               " ,"           " ,"   "
"42"          ,"14.4"          ,"             " ,"               " ,"           " ,"   "
"41"          ,"14.0"          ,"             " ,"               " ,"           " ,"   "
"40"          ,"13.6"          ,"             " ,"               " ,"           " ,"   "
"39"          ,"13.0"          ,"             " ,"               " ,"           " ,"   "
"38"          ,"12.6"          ,"             " ,"               " ,"           " ,"   "
"37"          ,"12.0"          ,"             " ,"               " ,"           " ,"   "
"36"          ,"11.6"          ,"             " ,"               " ,"           " ,"   "
"35"          ,"11.0"          ,"             " ,"               " ,"           " ,"   "
"34"          ,"10.6"          ,"             " ,"               " ,"           " ,"   "
"33"          ,"10.0"          ,"             " ,"               " ,"           " ,"   "
"32"          ,"7.0"           ,"             " ,"               " ,"           " ,"   "
"31"          ,"4.0"           ,"             " ,"               " ,"           " ,"   "
"30"          ,"1.0"           ,"             " ,"               " ,"           " ,"   "
"inf"         ,"0.0"           ,"             " ,"               " ,"           " ,"   "
